analysis,load,tau_ms,cv,pairs,mean_delta_pp,p_value,holm_p_value,holm_significant,direction
secondary_pooled,1.0,10.0,0.5,45,-0.10632596712965052,0.014528543094968835,0.3341564911842741,False,negative
secondary_pooled,1.0,10.0,1.0,45,-0.18410134020945243,0.016745531849145387,0.33491063698290774,False,negative
secondary_pooled,1.0,50.0,0.0,45,-0.11489514197710093,0.0015384259361390822,0.05076805589258971,False,negative
secondary_pooled,1.0,50.0,0.5,45,-0.10632596712965052,0.014528543094968835,0.3341564911842741,False,negative
secondary_pooled,1.0,50.0,1.0,45,-0.18917711584683666,0.018853809602129065,0.35822238244045224,False,negative
secondary_pooled,1.2,0.0,0.0,45,-0.0283539612738025,0.41741181099392033,1.0,False,negative
secondary_pooled,1.2,0.0,0.5,45,0.14767614003868376,0.02656332935040109,0.35822238244045224,False,positive
secondary_pooled,1.2,0.0,1.0,45,0.06365535555744878,0.4974188426133381,1.0,False,positive
secondary_pooled,1.2,10.0,0.0,45,-0.0283539612738025,0.41741181099392033,1.0,False,negative
secondary_pooled,1.2,10.0,0.5,45,0.15774562547106571,0.019691851368504938,0.35822238244045224,False,positive
secondary_pooled,1.2,10.0,1.0,45,0.07164096378031357,0.44014062582353913,1.0,False,positive
secondary_pooled,1.2,50.0,0.0,45,-0.0283539612738025,0.41741181099392033,1.0,False,negative
secondary_pooled,1.2,50.0,0.5,45,0.15774562547106571,0.019691851368504938,0.35822238244045224,False,positive
secondary_pooled,1.2,50.0,1.0,45,0.019179951117368747,0.8377278720136828,1.0,False,positive
