load,tau_ms,cv,baseline,pairs,mean_delta_pp,ci95_low_pp,ci95_high_pp,p_value,holm_p_value_global_162
1.2,0.0,1.0,DA-BALS-Adaptive,30,3.458958941974296,1.9946629778945852,4.923254906054007,4.054331634514652e-05,0.0023920556643636445
1.2,10.0,0.0,DA-BALS-NoMargin,30,-0.07681880822092163,-0.1606624963807628,0.007024879938919537,0.07105674664224583,1.0
1.2,10.0,0.0,DA-BALS-FixedMargin,30,2.3160187197231648,2.0746771513129616,2.557360288133368,2.7333525643813283e-18,4.236696474791059e-16
1.2,10.0,0.0,DA-BALS-Adaptive,30,0.5737767277314542,0.3896286836784035,0.7579247717845048,5.761138492370622e-07,4.26324248435426e-05
1.2,10.0,0.5,DA-BALS-NoMargin,30,0.07517175830955031,-0.08259385513314382,0.23293737175224444,0.33786465292462625,1.0
1.2,10.0,0.5,DA-BALS-FixedMargin,30,1.6072401781599974,1.3437564439418113,1.8707239123781836,3.5023921779323227e-13,4.44803806597405e-11
1.2,10.0,0.5,DA-BALS-Adaptive,30,0.9026993237325508,0.5933282372874714,1.2120704101776303,1.7405424015827482e-06,0.00012183796811079237
1.2,10.0,1.0,DA-BALS-NoMargin,30,-0.03910584857764026,-0.23451897483581025,0.1563072776805297,0.6853348895929617,1.0
1.2,10.0,1.0,DA-BALS-FixedMargin,30,1.08838296766953,0.7935842043591232,1.3831817309799368,2.528093687590439e-08,2.325846192583204e-06
1.2,10.0,1.0,DA-BALS-Adaptive,30,3.1818503988648197,1.7744809626570222,4.589219835072617,7.205394436402548e-05,0.004035020884385427
1.2,50.0,0.0,DA-BALS-NoMargin,30,-0.07681880822092163,-0.1606624963807628,0.007024879938919537,0.07105674664224583,1.0
1.2,50.0,0.0,DA-BALS-FixedMargin,30,2.3160187197231648,2.0746771513129616,2.557360288133368,2.7333525643813283e-18,4.236696474791059e-16
1.2,50.0,0.0,DA-BALS-Adaptive,30,0.5737767277314542,0.3896286836784035,0.7579247717845048,5.761138492370622e-07,4.26324248435426e-05
1.2,50.0,0.5,DA-BALS-NoMargin,30,0.07517175830955031,-0.08259385513314382,0.23293737175224444,0.33786465292462625,1.0
1.2,50.0,0.5,DA-BALS-FixedMargin,30,1.6072401781599974,1.3437564439418113,1.8707239123781836,3.5023921779323227e-13,4.44803806597405e-11
1.2,50.0,0.5,DA-BALS-Adaptive,30,0.9026993237325508,0.5933282372874714,1.2120704101776303,1.7405424015827482e-06,0.00012183796811079237
1.2,50.0,1.0,DA-BALS-NoMargin,30,-0.10202014670642777,-0.30234727627553365,0.09830698286267812,0.3062172275832096,1.0
1.2,50.0,1.0,DA-BALS-FixedMargin,30,1.0657708896944296,0.7675882702573483,1.3639535091315107,4.7290363923470704e-08,4.161552025265422e-06
1.2,50.0,1.0,DA-BALS-Adaptive,30,3.1907516676421355,1.8187243248896172,4.562779010394654,4.9915967212090664e-05,0.002873347716980307
